beta,gamma
0.143475,0.026869
0.294881,0.061633
0.295108,0.102551
0.213733,0.020722
0.163635,0.057154
0.415292,0.022184
0.178742,0.047802
0.404325,0.020873
0.381203,0.026148
0.458580,0.021369
0.146847,0.020290
0.141683,0.017498
0.322824,0.015250
0.329110,0.025681
0.230229,0.051904
0.179043,0.020703
0.222054,0.014207
0.155449,0.017093
0.221531,0.073182
0.381739,0.052446
0.473065,0.032033
0.285537,0.112786
0.124562,0.020775
0.272857,0.017070
0.299544,0.024879
0.286698,0.054582
0.420702,0.045953
0.325791,0.037036
0.205608,0.081583
0.286938,0.086241
0.124682,0.020916
0.249547,0.029133
0.289079,0.031966
0.264465,0.026670
0.409253,0.029506
0.200400,0.028087
0.391151,0.041605
0.170715,0.042512
0.480286,0.018338
0.230045,0.017819
0.202588,0.065549
0.281760,0.027798
0.169305,0.024273
0.215961,0.036283
0.197141,0.024906
0.518292,0.029058
0.149440,0.039987
0.194646,0.040925
0.146210,0.016968
0.264164,0.028444
0.495434,0.044685
0.283246,0.025751
0.283558,0.014448
0.277055,0.027022
0.129141,0.017678
0.309177,0.030159
0.185290,0.021758
0.285101,0.086078
0.302243,0.100907
0.461281,0.016091
0.410862,0.042949
0.210491,0.031376
0.129579,0.017080
0.293911,0.015226
0.440704,0.016587
0.496524,0.038209
0.255157,0.043039
0.189118,0.035030
0.235822,0.011339
0.456709,0.020549
0.282130,0.025487
0.331343,0.062210
0.383922,0.046206
0.364042,0.025262
0.340405,0.012735
0.296393,0.013152
0.354150,0.020873
0.266150,0.029990
0.257978,0.096103
0.155454,0.028869
0.174098,0.050767
0.454297,0.041665
0.260752,0.051103
0.379022,0.018784
0.153257,0.024862
0.301873,0.060503
0.202973,0.022685
0.174228,0.061041
0.355614,0.047264
0.238004,0.025409
0.419900,0.028683
0.135741,0.035568
0.178850,0.023048
0.194149,0.034561
0.297924,0.071728
0.180198,0.062775
0.131977,0.015677
0.222691,0.013305
0.181626,0.045528
0.174162,0.013253
0.107905,0.020725
0.155539,0.019291
0.224529,0.072261
0.219682,0.012542
0.260487,0.097834
0.200761,0.041785
0.273449,0.082676
0.220267,0.021585
0.309217,0.071231
0.247966,0.028630
0.347967,0.031795
0.211406,0.025377
0.253144,0.076667
0.177884,0.026021
0.159876,0.026173
0.300386,0.056577
0.290516,0.023616
0.173827,0.014920
0.249059,0.047650
0.287223,0.076360
0.171027,0.041823
0.337023,0.095142
0.279710,0.015995
0.289498,0.047191
0.334359,0.019269
0.200825,0.023791
0.469957,0.015249
0.336412,0.018153
0.245561,0.014769
0.269848,0.050066
0.200912,0.029411
0.209767,0.026619
0.374003,0.017971
0.189340,0.041252
0.173010,0.031617
0.309821,0.034388
0.209625,0.087338
0.141144,0.016550
0.189828,0.032727
0.151866,0.035252
0.282971,0.053256
0.324876,0.033284
0.382161,0.020288
0.332624,0.116597
0.334002,0.015466
0.411670,0.050110
0.437832,0.044395
0.227586,0.044507
0.422854,0.032517
0.205264,0.037065
0.366053,0.036156
0.253051,0.036801
0.214314,0.032765
0.313489,0.067941
0.218846,0.054073
0.274383,0.068791
0.272062,0.052751
0.220596,0.039262
0.270131,0.104235
0.246772,0.063928
0.250504,0.045321
0.239104,0.037403
0.181849,0.038169
0.235127,0.023553
0.206464,0.065887
0.124729,0.029907
0.207124,0.081949
0.288415,0.077197
0.261315,0.094077
0.292041,0.013957
0.154801,0.013001
0.144709,0.025172
0.148221,0.051064
0.447811,0.028274
0.286984,0.114497
0.377786,0.025497
0.195736,0.042474
0.148312,0.020487
0.173858,0.020052
0.184610,0.063143
0.139346,0.019477
0.221687,0.064324
0.235013,0.016276
0.201083,0.032454
0.498772,0.044213
0.112532,0.024636
0.259620,0.014317
0.143114,0.026962
0.285799,0.109364
0.194255,0.013651
0.163967,0.036671
0.263473,0.026699
0.173748,0.059089
0.402052,0.026369
0.330781,0.025640
0.371457,0.018336
0.246143,0.016080
0.284695,0.034957
0.321163,0.092988
0.112720,0.017544
0.365678,0.063835
0.221135,0.041632
0.123159,0.021243
0.191629,0.059792
0.320312,0.017386
0.146379,0.036254
0.221561,0.072560
0.299981,0.027868
0.275716,0.053924
0.316695,0.022653
0.221644,0.024572
0.177522,0.022219
0.393826,0.014715
0.287885,0.096278
0.317244,0.081900
0.436364,0.027759
0.274585,0.055014
0.183741,0.050815
0.237284,0.044724
0.209255,0.068274
0.361529,0.035922
0.434317,0.038698
0.130858,0.026961
0.300704,0.046986
0.245835,0.098479
0.197909,0.034731
0.212104,0.053957
0.130172,0.018709
0.186016,0.027489
0.220577,0.039038
0.186474,0.053184
0.202384,0.078083
0.169319,0.025049
0.214901,0.049780
0.234308,0.050292
0.240482,0.028234
0.246744,0.032902
0.196400,0.013611
0.304604,0.014329
0.242199,0.063647
0.316016,0.035430
0.303844,0.029062
0.150955,0.023888
0.446848,0.026956
0.278977,0.014947
0.258392,0.072868
0.154270,0.015191
0.417424,0.051384
0.250925,0.021584
0.297940,0.095138
0.141493,0.018860
0.305206,0.019329
0.357472,0.025883
0.255307,0.033661
0.122726,0.019671
0.163076,0.049038
0.442435,0.042510
0.171529,0.017650
0.253453,0.056961
0.332070,0.049505
0.293462,0.072822
0.284675,0.061072
0.265931,0.033998
0.192819,0.044251
0.146249,0.020655
0.397790,0.019888
0.278625,0.014252
0.150712,0.042121
0.185965,0.034852
0.275109,0.101031
0.275279,0.026430
0.294646,0.067445
0.339277,0.020690
0.208362,0.018434
0.278085,0.052005
0.182669,0.021359
0.223913,0.029068
0.278051,0.089020
0.466965,0.019818
0.237532,0.012601
0.343474,0.020455
0.126588,0.019148
0.142101,0.029167
0.273744,0.042128
0.207742,0.053978
0.269246,0.070593
0.487444,0.025944
0.412992,0.016554
0.203958,0.030734
0.343498,0.027369
0.363052,0.032335
0.345832,0.019446
0.199738,0.038950
0.292583,0.055185
0.200104,0.032165
0.178620,0.065825
0.156803,0.040683
0.196263,0.034525
0.230108,0.022815
0.166590,0.039364
0.314369,0.118471
0.312638,0.018371
0.206721,0.062153
0.252577,0.036588
0.238029,0.014162
0.214831,0.085725
0.177467,0.030630
0.275977,0.060562
0.249050,0.021679
0.306313,0.106015
0.274877,0.098006
0.241960,0.039694
0.447430,0.017698
0.437367,0.041452
0.358881,0.038047
0.124073,0.021395
0.234258,0.081205
0.159960,0.027725
0.285429,0.021801
0.217442,0.020846
0.308393,0.021099
0.242795,0.068899
0.511172,0.034080
0.217579,0.035314
0.331395,0.015117
0.190218,0.022862
0.229050,0.013299
0.154764,0.019576
0.146930,0.030247
0.217229,0.015735
0.268374,0.053165
0.185823,0.015527
0.180122,0.026848
0.118320,0.022245
0.199514,0.060782
0.117508,0.021228
0.348772,0.043615
0.200516,0.025903
0.358001,0.038768
0.320472,0.038754
0.245303,0.063062
0.225604,0.017332
0.112853,0.017411
0.293494,0.018606
0.250722,0.066641
0.205141,0.015660
0.476747,0.016046
0.178808,0.032799
0.294830,0.074289
0.202011,0.077009
0.242120,0.096137
0.283642,0.054437
0.185493,0.038834
0.206345,0.028004
0.227832,0.024167
0.287207,0.112152
0.281640,0.071176
0.139464,0.014017
